Concept,Opening,Birds_Journey,Seven_Valleys,Simurgh_Encounter,Final_State,Classification
جان,0.9231,1.0,0.8462,0.8571,0.4444,Persistent
دل,0.6923,1.0,0.9231,0.4286,0.8889,Persistent
خویش,0.5385,0.9286,0.8462,0.7143,0.1111,Persistent
راه,0.7692,1.0,0.9231,0.7143,0.5556,Persistent
عشق,0.0769,0.9286,0.7692,0.2143,0,Transient
طلب,0.3846,0.4286,0.5385,0,0,Transient
درد,0.2308,0.7143,0.5385,0.5,0.6667,Persistent
سیمرغ,0,0.4286,0,0.2143,0,Transient
مرغ,0,0.5,0,0.4286,0,Transient
محو,0.0769,0.3571,0.3846,0.2857,0,Transient
فنا,0,0,0.1538,0.1429,0,Transient
بقا,0,0,0,0.1429,0,Transient
خاک,0.6154,0.7143,0.7692,0.3571,0.4444,Persistent
تن,0.3077,0.6429,0.4615,0.2857,0.1111,Persistent
جسم,0.0769,0,0,0,0.2222,Re-emerging
پاک,0.6154,0.7143,0.5385,0.0714,0.4444,Persistent
عقل,0.5385,0.5,0.6154,0,0,Transient
نفس,0.4615,0.8571,0.6154,0.2143,0.1111,Persistent
