Stage,Concept_A,Concept_B,Normalized_Strength,Previous_Strength,Change,Status
Opening,بقا,راه,0.0,0.0,0.0,Stable
Birds_Journey,بقا,راه,0.0,0.0,0.0,Stable
Seven_Valleys,بقا,راه,0.0,0.0,0.0,Stable
Simurgh_Encounter,بقا,راه,0.019143,0.0,0.019143,Emerging
Final_State,بقا,راه,0.0,0.019143,-0.019143,Weakening
Opening,بقا,فنا,0.0,0.0,0.0,Stable
Birds_Journey,بقا,فنا,0.0,0.0,0.0,Stable
Seven_Valleys,بقا,فنا,0.0,0.0,0.0,Stable
Simurgh_Encounter,بقا,فنا,0.028259,0.0,0.028259,Emerging
Final_State,بقا,فنا,0.0,0.028259,-0.028259,Weakening
Opening,تن,جان,0.03547,0.0,0.03547,Emerging
Birds_Journey,تن,جان,0.017808,0.03547,-0.017662,Weakening
Seven_Valleys,تن,جان,0.027114,0.017808,0.009306,Strengthening
Simurgh_Encounter,تن,جان,0.041021,0.027114,0.013907,Strengthening
Final_State,تن,جان,0.0,0.041021,-0.041021,Weakening
Opening,تن,خاک,0.013301,0.0,0.013301,Emerging
Birds_Journey,تن,خاک,0.003611,0.013301,-0.00969,Weakening
Seven_Valleys,تن,خاک,0.012912,0.003611,0.009301,Strengthening
Simurgh_Encounter,تن,خاک,0.0,0.012912,-0.012912,Weakening
Final_State,تن,خاک,0.0,0.0,0.0,Stable
Opening,تن,خویش,0.0,0.0,0.0,Stable
Birds_Journey,تن,خویش,0.009215,0.0,0.009215,Emerging
Seven_Valleys,تن,خویش,0.0,0.009215,-0.009215,Weakening
Simurgh_Encounter,تن,خویش,0.0,0.0,0.0,Stable
Final_State,تن,خویش,0.0,0.0,0.0,Stable
Opening,تن,درد,0.0,0.0,0.0,Stable
Birds_Journey,تن,درد,0.002366,0.0,0.002366,Emerging
Seven_Valleys,تن,درد,0.0,0.002366,-0.002366,Weakening
Simurgh_Encounter,تن,درد,0.0,0.0,0.0,Stable
Final_State,تن,درد,0.0,0.0,0.0,Stable
Opening,تن,دل,0.0,0.0,0.0,Stable
Birds_Journey,تن,دل,0.010585,0.0,0.010585,Emerging
Seven_Valleys,تن,دل,0.006779,0.010585,-0.003806,Weakening
Simurgh_Encounter,تن,دل,0.015497,0.006779,0.008718,Strengthening
Final_State,تن,دل,0.033486,0.015497,0.017989,Strengthening
Opening,تن,راه,0.010883,0.0,0.010883,Emerging
Birds_Journey,تن,راه,0.019676,0.010883,0.008793,Strengthening
Seven_Valleys,تن,راه,0.022595,0.019676,0.002919,Strengthening
Simurgh_Encounter,تن,راه,0.025524,0.022595,0.002929,Strengthening
Final_State,تن,راه,0.0,0.025524,-0.025524,Weakening
Opening,تن,عشق,0.0,0.0,0.0,Stable
Birds_Journey,تن,عشق,0.007098,0.0,0.007098,Emerging
Seven_Valleys,تن,عشق,0.0,0.007098,-0.007098,Weakening
Simurgh_Encounter,تن,عشق,0.0,0.0,0.0,Stable
Final_State,تن,عشق,0.0,0.0,0.0,Stable
Opening,تن,عقل,0.013301,0.0,0.013301,Emerging
Birds_Journey,تن,عقل,0.0,0.013301,-0.013301,Weakening
Seven_Valleys,تن,عقل,0.0,0.0,0.0,Stable
Simurgh_Encounter,تن,عقل,0.0,0.0,0.0,Stable
Final_State,تن,عقل,0.0,0.0,0.0,Stable
Opening,تن,مرغ,0.0,0.0,0.0,Stable
Birds_Journey,تن,مرغ,0.0,0.0,0.0,Stable
Seven_Valleys,تن,مرغ,0.0,0.0,0.0,Stable
Simurgh_Encounter,تن,مرغ,0.022789,0.0,0.022789,Emerging
Final_State,تن,مرغ,0.0,0.022789,-0.022789,Weakening
Opening,تن,نفس,0.0,0.0,0.0,Stable
Birds_Journey,تن,نفس,0.005355,0.0,0.005355,Emerging
Seven_Valleys,تن,نفس,0.007747,0.005355,0.002392,Strengthening
Simurgh_Encounter,تن,نفس,0.0,0.007747,-0.007747,Weakening
Final_State,تن,نفس,0.0,0.0,0.0,Stable
Opening,تن,پاک,0.0,0.0,0.0,Stable
Birds_Journey,تن,پاک,0.001868,0.0,0.001868,Emerging
Seven_Valleys,تن,پاک,0.010329,0.001868,0.008461,Strengthening
Simurgh_Encounter,تن,پاک,0.0,0.010329,-0.010329,Weakening
Final_State,تن,پاک,0.0,0.0,0.0,Stable
Opening,جان,جسم,0.015316,0.0,0.015316,Emerging
Birds_Journey,جان,جسم,0.0,0.015316,-0.015316,Weakening
Seven_Valleys,جان,جسم,0.0,0.0,0.0,Stable
Simurgh_Encounter,جان,جسم,0.0,0.0,0.0,Stable
Final_State,جان,جسم,0.028919,0.0,0.028919,Emerging
Opening,جان,خاک,0.059653,0.0,0.059653,Emerging
Birds_Journey,جان,خاک,0.018804,0.059653,-0.040849,Weakening
Seven_Valleys,جان,خاک,0.028405,0.018804,0.009601,Strengthening
Simurgh_Encounter,جان,خاک,0.045579,0.028405,0.017174,Strengthening
Final_State,جان,خاک,0.0,0.045579,-0.045579,Weakening
Opening,جان,خویش,0.045949,0.0,0.045949,Emerging
Birds_Journey,جان,خویش,0.035741,0.045949,-0.010208,Weakening
Seven_Valleys,جان,خویش,0.041317,0.035741,0.005576,Strengthening
Simurgh_Encounter,جان,خویش,0.030082,0.041317,-0.011235,Weakening
Final_State,جان,خویش,0.0,0.030082,-0.030082,Weakening
Opening,جان,درد,0.024587,0.0,0.024587,Emerging
Birds_Journey,جان,درد,0.009963,0.024587,-0.014624,Weakening
Seven_Valleys,جان,درد,0.010006,0.009963,4.3e-05,Strengthening
Simurgh_Encounter,جان,درد,0.030082,0.010006,0.020076,Strengthening
Final_State,جان,درد,0.109589,0.030082,0.079507,Strengthening
Opening,جان,دل,0.065699,0.0,0.065699,Emerging
Birds_Journey,جان,دل,0.049315,0.065699,-0.016384,Weakening
Seven_Valleys,جان,دل,0.048741,0.049315,-0.000574,Weakening
Simurgh_Encounter,جان,دل,0.040109,0.048741,-0.008632,Weakening
Final_State,جان,دل,0.066971,0.040109,0.026862,Strengthening
Opening,جان,راه,0.099154,0.0,0.099154,Emerging
Birds_Journey,جان,راه,0.081196,0.099154,-0.017958,Weakening
Seven_Valleys,جان,راه,0.071659,0.081196,-0.009537,Weakening
Simurgh_Encounter,جان,راه,0.055606,0.071659,-0.016053,Weakening
Final_State,جان,راه,0.09589,0.055606,0.040284,Strengthening
Opening,جان,سیمرغ,0.0,0.0,0.0,Stable
Birds_Journey,جان,سیمرغ,0.0132,0.0,0.0132,Emerging
Seven_Valleys,جان,سیمرغ,0.0,0.0132,-0.0132,Weakening
Simurgh_Encounter,جان,سیمرغ,0.020055,0.0,0.020055,Emerging
Final_State,جان,سیمرغ,0.0,0.020055,-0.020055,Weakening
Opening,جان,طلب,0.008464,0.0,0.008464,Emerging
Birds_Journey,جان,طلب,0.004732,0.008464,-0.003732,Weakening
Seven_Valleys,جان,طلب,0.017108,0.004732,0.012376,Strengthening
Simurgh_Encounter,جان,طلب,0.0,0.017108,-0.017108,Weakening
Final_State,جان,طلب,0.0,0.0,0.0,Stable
Opening,جان,عشق,0.015316,0.0,0.015316,Emerging
Birds_Journey,جان,عشق,0.039477,0.015316,0.024161,Strengthening
Seven_Valleys,جان,عشق,0.049709,0.039477,0.010232,Strengthening
Simurgh_Encounter,جان,عشق,0.015497,0.049709,-0.034212,Weakening
Final_State,جان,عشق,0.0,0.015497,-0.015497,Weakening
Opening,جان,عقل,0.058041,0.0,0.058041,Emerging
Birds_Journey,جان,عقل,0.006227,0.058041,-0.051814,Weakening
Seven_Valleys,جان,عقل,0.019045,0.006227,0.012818,Strengthening
Simurgh_Encounter,جان,عقل,0.0,0.019045,-0.019045,Weakening
Final_State,جان,عقل,0.0,0.0,0.0,Stable
Opening,جان,محو,0.0,0.0,0.0,Stable
Birds_Journey,جان,محو,0.004981,0.0,0.004981,Emerging
Seven_Valleys,جان,محو,0.0,0.004981,-0.004981,Weakening
Simurgh_Encounter,جان,محو,0.01732,0.0,0.01732,Emerging
Final_State,جان,محو,0.0,0.01732,-0.01732,Weakening
Opening,جان,مرغ,0.0,0.0,0.0,Stable
Birds_Journey,جان,مرغ,0.007597,0.0,0.007597,Emerging
Seven_Valleys,جان,مرغ,0.0,0.007597,-0.007597,Weakening
Simurgh_Encounter,جان,مرغ,0.027347,0.0,0.027347,Emerging
Final_State,جان,مرغ,0.0,0.027347,-0.027347,Weakening
Opening,جان,نفس,0.026199,0.0,0.026199,Emerging
Birds_Journey,جان,نفس,0.021544,0.026199,-0.004655,Weakening
Seven_Valleys,جان,نفس,0.00807,0.021544,-0.013474,Weakening
Simurgh_Encounter,جان,نفس,0.022789,0.00807,0.014719,Strengthening
Final_State,جان,نفس,0.0,0.022789,-0.022789,Weakening
Opening,جان,پاک,0.046352,0.0,0.046352,Emerging
Birds_Journey,جان,پاک,0.017186,0.046352,-0.029166,Weakening
Seven_Valleys,جان,پاک,0.015171,0.017186,-0.002015,Weakening
