Stage,Concept,Frequency,Degree Centrality,Betweenness Centrality,Clustering Coefficient,Nodes,Edges,Network Density,Average Degree,Connected Components,Communities,Modularity
Birds' Journey,راه,236,1.0,0.4505,0.1576,15,75,0.7143,10.0,1,1,0.0
Birds' Journey,جان,166,1.0,0.4066,0.1479,15,75,0.7143,10.0,1,1,0.0
Birds' Journey,دل,132,1.0,0.0,0.1315,15,75,0.7143,10.0,1,1,0.0
Birds' Journey,خویش,104,0.9286,0.0,0.1279,15,75,0.7143,10.0,1,1,0.0
Birds' Journey,عشق,127,0.9286,0.0989,0.1294,15,75,0.7143,10.0,1,1,0.0
Birds' Journey,نفس,59,0.8571,0.0,0.1051,15,75,0.7143,10.0,1,1,0.0
Birds' Journey,خاک,48,0.7143,0.0,0.1294,15,75,0.7143,10.0,1,1,0.0
Birds' Journey,پاک,40,0.7143,0.0,0.106,15,75,0.7143,10.0,1,1,0.0
Birds' Journey,درد,34,0.7143,0.0,0.1027,15,75,0.7143,10.0,1,1,0.0
Birds' Journey,تن,35,0.6429,0.0,0.128,15,75,0.7143,10.0,1,1,0.0
Birds' Journey,عقل,15,0.5,0.0,0.0951,15,75,0.7143,10.0,1,1,0.0
Birds' Journey,مرغ,16,0.5,0.0,0.0838,15,75,0.7143,10.0,1,1,0.0
Birds' Journey,سیمرغ,35,0.4286,0.0,0.1585,15,75,0.7143,10.0,1,1,0.0
Birds' Journey,طلب,9,0.4286,0.0,0.0762,15,75,0.7143,10.0,1,1,0.0
Birds' Journey,محو,11,0.3571,0.0,0.1045,15,75,0.7143,10.0,1,1,0.0
Final State,دل,16,0.8889,0.5833,0.1567,10,18,0.4,3.6,1,2,0.0842
Final State,درد,18,0.6667,0.1944,0.3293,10,18,0.4,3.6,1,2,0.0842
Final State,راه,24,0.5556,0.3889,0.5132,10,18,0.4,3.6,1,2,0.0842
Final State,جان,16,0.4444,0.0,0.4748,10,18,0.4,3.6,1,2,0.0842
Final State,خاک,12,0.4444,0.0,0.4648,10,18,0.4,3.6,1,2,0.0842
Final State,پاک,9,0.4444,0.0,0.4434,10,18,0.4,3.6,1,2,0.0842
Final State,جسم,3,0.2222,0.0,0.4185,10,18,0.4,3.6,1,2,0.0842
Final State,نفس,4,0.1111,0.0,0.0,10,18,0.4,3.6,1,2,0.0842
