Stage,Concept,Degree,Degree_Centrality,Betweenness_Centrality,Closeness_Centrality,Eigenvector_Centrality
Opening,جان,12,0.9231,0.3735,0.9286,0.3889
Opening,پاک,8,0.6154,0.0199,0.7222,0.3376
Opening,خاک,8,0.6154,0.1635,0.7222,0.3056
Opening,تن,4,0.3077,0.0,0.5909,0.1828
Opening,خویش,7,0.5385,0.0077,0.6842,0.3106
Opening,عقل,7,0.5385,0.0096,0.6842,0.3008
Opening,راه,10,0.7692,0.0786,0.8125,0.3767
Opening,دل,9,0.6923,0.0498,0.7647,0.3552
Opening,نفس,6,0.4615,0.0026,0.619,0.2663
Opening,طلب,5,0.3846,0.0,0.5909,0.2298
Opening,درد,3,0.2308,0.0,0.5417,0.1493
Opening,جسم,1,0.0769,0.0,0.5,0.0518
Opening,عشق,1,0.0769,0.0,0.5,0.0518
Opening,محو,1,0.0769,0.0,0.4333,0.0407
Birds_Journey,راه,14,1.0,0.0623,1.0,0.3205
Birds_Journey,سیمرغ,6,0.4286,0.0016,0.6364,0.1636
Birds_Journey,جان,14,1.0,0.0623,1.0,0.3205
Birds_Journey,خویش,13,0.9286,0.0446,0.9333,0.3061
Birds_Journey,عشق,13,0.9286,0.0476,0.9333,0.3048
Birds_Journey,عقل,7,0.5,0.0,0.6667,0.1983
Birds_Journey,خاک,10,0.7143,0.0047,0.7778,0.264
Birds_Journey,پاک,10,0.7143,0.0071,0.7778,0.2628
Birds_Journey,نفس,12,0.8571,0.0262,0.875,0.2941
Birds_Journey,دل,14,1.0,0.0623,1.0,0.3205
Birds_Journey,طلب,6,0.4286,0.0,0.6364,0.1696
Birds_Journey,تن,9,0.6429,0.0,0.7368,0.2471
Birds_Journey,درد,10,0.7143,0.0073,0.7778,0.2615
Birds_Journey,مرغ,7,0.5,0.0037,0.6667,0.185
Birds_Journey,محو,5,0.3571,0.0,0.6087,0.1463
Seven_Valleys,دل,12,0.9231,0.1124,0.9286,0.3401
Seven_Valleys,طلب,7,0.5385,0.0043,0.6842,0.2386
Seven_Valleys,نفس,8,0.6154,0.0124,0.7222,0.2576
Seven_Valleys,پاک,7,0.5385,0.0091,0.6842,0.2215
Seven_Valleys,راه,12,0.9231,0.0609,0.9286,0.3496
Seven_Valleys,خویش,11,0.8462,0.0915,0.8667,0.3151
Seven_Valleys,درد,7,0.5385,0.0018,0.6842,0.2426
Seven_Valleys,جان,11,0.8462,0.0355,0.8667,0.333
Seven_Valleys,عشق,10,0.7692,0.0274,0.8125,0.308
Seven_Valleys,عقل,8,0.6154,0.0194,0.7222,0.2525
Seven_Valleys,تن,6,0.4615,0.0044,0.65,0.1983
Seven_Valleys,خاک,10,0.7692,0.0421,0.8125,0.299
Seven_Valleys,فنا,2,0.1538,0.0,0.5417,0.0722
Seven_Valleys,محو,5,0.3846,0.0018,0.619,0.1679
Simurgh_Encounter,جان,12,0.8571,0.3095,0.875,0.4317
Simurgh_Encounter,راه,10,0.7143,0.2985,0.7778,0.3754
Simurgh_Encounter,مرغ,6,0.4286,0.0266,0.6364,0.2658
Simurgh_Encounter,محو,4,0.2857,0.0,0.5833,0.2185
Simurgh_Encounter,خویش,10,0.7143,0.1255,0.7778,0.3971
Simurgh_Encounter,تن,4,0.2857,0.0027,0.5833,0.2034
Simurgh_Encounter,دل,6,0.4286,0.0101,0.6364,0.2958
Simurgh_Encounter,سیمرغ,3,0.2143,0.0,0.5185,0.1627
Simurgh_Encounter,پاک,1,0.0714,0.0,0.4828,0.0642
Simurgh_Encounter,عشق,3,0.2143,0.0,0.5185,0.1697
Simurgh_Encounter,درد,7,0.5,0.0403,0.6667,0.3134
Simurgh_Encounter,نفس,3,0.2143,0.0,0.5185,0.1697
Simurgh_Encounter,خاک,5,0.3571,0.0,0.6087,0.2695
Simurgh_Encounter,بقا,2,0.1429,0.0,0.4667,0.0655
Simurgh_Encounter,فنا,2,0.1429,0.0,0.4667,0.0655
Final_State,جان,4,0.4444,0.0694,0.6429,0.3169
Final_State,درد,6,0.6667,0.1435,0.75,0.443
Final_State,دل,8,0.8889,0.6019,0.9,0.467
Final_State,راه,5,0.5556,0.0185,0.6923,0.4145
Final_State,جسم,2,0.2222,0.0,0.4737,0.162
Final_State,خاک,4,0.4444,0.0,0.6429,0.3588
Final_State,پاک,4,0.4444,0.0,0.6429,0.3588
Final_State,نفس,1,0.1111,0.0,0.5,0.0995
Final_State,تن,1,0.1111,0.0,0.5,0.0995
Final_State,خویش,1,0.1111,0.0,0.5,0.0995
