Stage,Concept_A,Concept_B,Raw_Weight,Total_Edge_Weight,Normalized_Strength
Opening,جان,پاک,115,2481,0.046352
Opening,جان,خاک,148,2481,0.059653
Opening,جان,تن,88,2481,0.03547
Opening,جان,خویش,114,2481,0.045949
Opening,جان,عقل,144,2481,0.058041
Opening,جان,راه,246,2481,0.099154
Opening,جان,دل,163,2481,0.065699
Opening,جان,نفس,65,2481,0.026199
Opening,جان,طلب,21,2481,0.008464
Opening,جان,درد,61,2481,0.024587
Opening,جان,جسم,38,2481,0.015316
Opening,جان,عشق,38,2481,0.015316
Opening,پاک,خاک,89,2481,0.035873
Opening,پاک,خویش,30,2481,0.012092
Opening,پاک,عقل,24,2481,0.009674
Opening,پاک,راه,39,2481,0.015719
Opening,پاک,دل,34,2481,0.013704
Opening,پاک,نفس,30,2481,0.012092
Opening,پاک,طلب,28,2481,0.011286
Opening,خاک,تن,33,2481,0.013301
Opening,خاک,خویش,53,2481,0.021362
Opening,خاک,عقل,23,2481,0.00927
Opening,خاک,راه,81,2481,0.032648
Opening,خاک,دل,60,2481,0.024184
Opening,خاک,محو,22,2481,0.008867
Opening,تن,عقل,33,2481,0.013301
Opening,تن,راه,27,2481,0.010883
Opening,خویش,عقل,23,2481,0.00927
Opening,خویش,دل,45,2481,0.018138
Opening,خویش,راه,112,2481,0.045143
Opening,خویش,نفس,34,2481,0.013704
Opening,عقل,راه,70,2481,0.028214
Opening,عقل,دل,29,2481,0.011689
Opening,راه,دل,119,2481,0.047965
Opening,راه,طلب,20,2481,0.008061
Opening,راه,درد,35,2481,0.014107
Opening,راه,نفس,32,2481,0.012898
Opening,دل,نفس,42,2481,0.016929
Opening,دل,طلب,19,2481,0.007658
Opening,دل,درد,36,2481,0.01451
Opening,نفس,طلب,18,2481,0.007255
Birds_Journey,راه,سیمرغ,97,8030,0.01208
Birds_Journey,راه,جان,652,8030,0.081196
Birds_Journey,راه,خویش,426,8030,0.053051
Birds_Journey,راه,عشق,311,8030,0.03873
Birds_Journey,راه,عقل,45,8030,0.005604
Birds_Journey,راه,خاک,197,8030,0.024533
Birds_Journey,راه,پاک,186,8030,0.023163
Birds_Journey,راه,نفس,245,8030,0.030511
Birds_Journey,راه,دل,429,8030,0.053425
Birds_Journey,راه,طلب,37,8030,0.004608
Birds_Journey,راه,تن,158,8030,0.019676
Birds_Journey,راه,درد,100,8030,0.012453
Birds_Journey,راه,مرغ,47,8030,0.005853
Birds_Journey,راه,محو,25,8030,0.003113
Birds_Journey,سیمرغ,جان,106,8030,0.0132
Birds_Journey,سیمرغ,خویش,44,8030,0.005479
Birds_Journey,سیمرغ,عشق,87,8030,0.010834
Birds_Journey,سیمرغ,دل,90,8030,0.011208
Birds_Journey,سیمرغ,مرغ,38,8030,0.004732
Birds_Journey,جان,خویش,287,8030,0.035741
Birds_Journey,جان,عشق,317,8030,0.039477
Birds_Journey,جان,دل,396,8030,0.049315
Birds_Journey,جان,تن,143,8030,0.017808
Birds_Journey,جان,عقل,50,8030,0.006227
Birds_Journey,جان,خاک,151,8030,0.018804
Birds_Journey,جان,پاک,138,8030,0.017186
Birds_Journey,جان,نفس,173,8030,0.021544
Birds_Journey,جان,طلب,38,8030,0.004732
Birds_Journey,جان,درد,80,8030,0.009963
Birds_Journey,جان,محو,40,8030,0.004981
Birds_Journey,جان,مرغ,61,8030,0.007597
Birds_Journey,خویش,عشق,223,8030,0.027771
Birds_Journey,خویش,تن,74,8030,0.009215
Birds_Journey,خویش,محو,39,8030,0.004857
Birds_Journey,خویش,عقل,32,8030,0.003985
Birds_Journey,خویش,خاک,103,8030,0.012827
Birds_Journey,خویش,پاک,38,8030,0.004732
Birds_Journey,خویش,دل,227,8030,0.028269
Birds_Journey,خویش,درد,36,8030,0.004483
Birds_Journey,خویش,نفس,106,8030,0.0132
Birds_Journey,خویش,مرغ,36,8030,0.004483
Birds_Journey,عشق,دل,343,8030,0.042715
Birds_Journey,عشق,تن,57,8030,0.007098
Birds_Journey,عشق,محو,34,8030,0.004234
Birds_Journey,عشق,عقل,54,8030,0.006725
Birds_Journey,عشق,خاک,66,8030,0.008219
Birds_Journey,عشق,درد,133,8030,0.016563
Birds_Journey,عشق,پاک,41,8030,0.005106
Birds_Journey,عشق,طلب,18,8030,0.002242
Birds_Journey,عشق,نفس,68,8030,0.008468
Birds_Journey,دل,تن,85,8030,0.010585
Birds_Journey,دل,نفس,184,8030,0.022914
Birds_Journey,دل,پاک,66,8030,0.008219
Birds_Journey,دل,طلب,24,8030,0.002989
Birds_Journey,دل,درد,115,8030,0.014321
Birds_Journey,دل,مرغ,35,8030,0.004359
Birds_Journey,دل,عقل,22,8030,0.00274
Birds_Journey,دل,خاک,114,8030,0.014197
Birds_Journey,دل,محو,18,8030,0.002242
Birds_Journey,تن,پاک,15,8030,0.001868
Birds_Journey,تن,درد,19,8030,0.002366
Birds_Journey,تن,خاک,29,8030,0.003611
Birds_Journey,تن,نفس,43,8030,0.005355
Birds_Journey,عقل,خاک,17,8030,0.002117
Birds_Journey,عقل,نفس,21,8030,0.002615
Birds_Journey,خاک,پاک,65,8030,0.008095
Birds_Journey,خاک,درد,27,8030,0.003362
Birds_Journey,خاک,نفس,47,8030,0.005853
Birds_Journey,پاک,نفس,33,8030,0.00411
