Window_Size,Min_Frequency,Stage,Nodes,Edges,Density,Average_Degree,Average_Clustering,Connected_Components
3,10,opening,12,28,0.4242,4.6667,0.6315,1
3,10,birds_journey,15,55,0.5238,7.3333,0.841,1
3,10,seven_valleys,12,33,0.5,5.5,0.6925,1
3,10,simurgh_encounter,12,13,0.197,2.1667,0.2056,2
3,10,final_state,6,9,0.6,3.0,0.9,1
3,15,opening,11,17,0.3091,3.0909,0.4869,1
3,15,birds_journey,13,40,0.5128,6.1538,0.8271,1
3,15,seven_valleys,11,21,0.3818,3.8182,0.7181,1
3,15,simurgh_encounter,6,4,0.2667,1.3333,0.0,2
3,15,final_state,6,6,0.4,2.0,0.5556,2
3,20,opening,9,13,0.3611,2.8889,0.5828,1
3,20,birds_journey,12,34,0.5152,5.6667,0.7384,1
3,20,seven_valleys,10,17,0.3778,3.4,0.4981,1
3,20,simurgh_encounter,0,0,0,0,0,0
3,20,final_state,2,1,1.0,1.0,0.0,1
5,10,opening,15,55,0.5238,7.3333,0.7971,1
5,10,birds_journey,16,86,0.7167,10.75,0.8818,1
5,10,seven_valleys,16,76,0.6333,9.5,0.8015,1
5,10,simurgh_encounter,15,50,0.4762,6.6667,0.7534,1
5,10,final_state,13,29,0.3718,4.4615,0.7365,1
5,15,opening,14,41,0.4505,5.8571,0.6357,1
5,15,birds_journey,15,75,0.7143,10.0,0.8544,1
5,15,seven_valleys,14,58,0.6374,8.2857,0.7929,1
5,15,simurgh_encounter,15,39,0.3714,5.2,0.7479,1
5,15,final_state,10,18,0.4,3.6,0.5352,1
5,20,opening,14,39,0.4286,5.5714,0.634,1
5,20,birds_journey,15,66,0.6286,8.8,0.8569,1
5,20,seven_valleys,14,48,0.5275,6.8571,0.6971,1
5,20,simurgh_encounter,14,30,0.3297,4.2857,0.607,1
5,20,final_state,8,12,0.4286,3.0,0.5083,1
7,10,opening,16,67,0.5583,8.375,0.7776,1
7,10,birds_journey,16,102,0.85,12.75,0.9216,1
7,10,seven_valleys,17,90,0.6618,10.5882,0.78,1
7,10,simurgh_encounter,16,68,0.5667,8.5,0.8345,1
7,10,final_state,16,47,0.3917,5.875,0.7663,1
7,15,opening,15,61,0.581,8.1333,0.8451,1
7,15,birds_journey,16,94,0.7833,11.75,0.8968,1
7,15,seven_valleys,17,82,0.6029,9.6471,0.7773,1
7,15,simurgh_encounter,15,62,0.5905,8.2667,0.8186,1
7,15,final_state,15,38,0.3619,5.0667,0.6474,1
7,20,opening,15,56,0.5333,7.4667,0.7933,1
7,20,birds_journey,16,84,0.7,10.5,0.8777,1
7,20,seven_valleys,15,75,0.7143,10.0,0.8279,1
7,20,simurgh_encounter,15,53,0.5048,7.0667,0.794,1
7,20,final_state,14,31,0.3407,4.4286,0.5763,1
